calendar_year,calendar_sheet,calendar_row,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,selected_event_id,action,notes,suggestion_1_event_id,suggestion_1_event_name,suggestion_1_event_year,suggestion_1_start_date,suggestion_1_end_date,suggestion_1_discipline,suggestion_1_category,suggestion_1_level,suggestion_1_result_count,suggestion_1_confidence,suggestion_1_reason,suggestion_2_event_id,suggestion_2_event_name,suggestion_2_event_year,suggestion_2_start_date,suggestion_2_end_date,suggestion_2_discipline,suggestion_2_category,suggestion_2_level,suggestion_2_result_count,suggestion_2_confidence,suggestion_2_reason,suggestion_3_event_id,suggestion_3_event_name,suggestion_3_event_year,suggestion_3_start_date,suggestion_3_end_date,suggestion_3_discipline,suggestion_3_category,suggestion_3_level,suggestion_3_result_count,suggestion_3_confidence,suggestion_3_reason
2018,2018,2,Jan 19-21,2018-01-19,2018-01-21,RDI 761 Invitational,,,,,208,Houston National Invitational,2018,,,WAG,junior and senior,International Event,57,0.596,name_similarity=0.58; token_overlap=0.20; has_results=57; same_year,43,RD761 Junior International Cup,2018,,,MAG,junior,International Event,298,0.583,name_similarity=0.67; token_overlap=0.00; has_results=298; same_year,168,Tournoi International,2018,,,WAG,junior,International Event,440,0.562,name_similarity=0.63; token_overlap=0.00; has_results=440; same_year
2018,2018,3,Jan 20,2018-01-20,2018-01-20,Top 12 Series 5 (MAG),,,,,105,Top 12 Series 5,2018,,,MAG,senior,International Event,96,1.0,name_similarity=0.89; token_overlap=0.80; name_contains_variant; has_results=96; same_year,8,Top 12 Series 4,2018,,,MAG and WAG,junior and senior,International Event,256,0.855,name_similarity=0.81; token_overlap=0.50; has_results=256; same_year,107,Top 12 Series 2,2018,,,MAG and WAG,junior and senior,International Event,204,0.855,name_similarity=0.81; token_overlap=0.50; has_results=204; same_year
2018,2018,4,Jan 27,2018-01-27,2018-01-27,Top 12 Series 3 (WAG),,,,,69,Top 12 Series 3,2018,,,MAG and WAG,junior and senior,International Event,196,1.0,name_similarity=0.89; token_overlap=0.80; name_contains_variant; has_results=196; same_year,8,Top 12 Series 4,2018,,,MAG and WAG,junior and senior,International Event,256,0.855,name_similarity=0.81; token_overlap=0.50; has_results=256; same_year,107,Top 12 Series 2,2018,,,MAG and WAG,junior and senior,International Event,204,0.855,name_similarity=0.81; token_overlap=0.50; has_results=204; same_year
2018,2018,5,Jan 27-28,2018-01-27,2018-01-28,Desert Lights National Qualifier,,,,,146,Desert Lights Qualifier,2018,,,WAG,junior and senior,International Event,324,0.959,name_similarity=0.84; token_overlap=0.75; has_results=324; same_year,143,Brestyan's National Qualifier,2018,,,WAG,junior and senior,International Event,395,0.786,name_similarity=0.76; token_overlap=0.40; has_results=395; same_year,174,Auburn National Qualifier,2018,,,WAG,junior and senior,International Event,499,0.746,name_similarity=0.70; token_overlap=0.40; has_results=499; same_year
2018,2018,6,Feb 1-2,2018-02-01,2018-02-02,Buckeye National Qualifier,,,,,379,Buckeye National Qualifier,2019,,,WAG,junior and senior,International Event,364,0.96,name_similarity=1.00; token_overlap=1.00; name_contains_variant; has_results=364; year_distance=1,148,Buckeye Qualifier,2018,,,WAG,junior and senior,International Event,250,0.903,name_similarity=0.80; token_overlap=0.67; has_results=250; same_year,174,Auburn National Qualifier,2018,,,WAG,junior and senior,International Event,499,0.86,name_similarity=0.82; token_overlap=0.50; has_results=499; same_year
2018,2018,11,Feb 3,2018-02-03,2018-02-03,Top 12 Series 6 (MAG),,,,,103,Top 12 Series 6,2018,,,MAG,junior and senior,International Event,95,1.0,name_similarity=0.89; token_overlap=0.80; name_contains_variant; has_results=95; same_year,8,Top 12 Series 4,2018,,,MAG and WAG,junior and senior,International Event,256,0.855,name_similarity=0.81; token_overlap=0.50; has_results=256; same_year,107,Top 12 Series 2,2018,,,MAG and WAG,junior and senior,International Event,204,0.855,name_similarity=0.81; token_overlap=0.50; has_results=204; same_year
2018,2018,13,Feb 9-11,2018-02-09,2018-02-11,Orlando National Qualifier,,,,,149,Orlando Qualifier,2018,,,WAG,junior and senior,International Event,260,0.903,name_similarity=0.80; token_overlap=0.67; has_results=260; same_year,174,Auburn National Qualifier,2018,,,WAG,junior and senior,International Event,499,0.86,name_similarity=0.82; token_overlap=0.50; has_results=499; same_year,160,KPAC National Qualifier,2018,,,WAG,junior and senior,International Event,478,0.856,name_similarity=0.82; token_overlap=0.50; has_results=478; same_year
2018,2018,18,Feb 17,2018-02-17,2018-02-17,Top 12 Semi-Final (MAG),,,,,104,Top 12 Semi-Final 1,2018,,,MAG,senior,International Event,96,0.929,name_similarity=0.88; token_overlap=0.60; has_results=96; same_year,106,Top 12 Semi-Final 2,2018,,,MAG,senior,International Event,93,0.929,name_similarity=0.88; token_overlap=0.60; has_results=93; same_year,119,Top 12 Final,2018,,,MAG and WAG,junior and senior,International Event,128,0.771,name_similarity=0.74; token_overlap=0.40; has_results=128; same_year
2018,2018,22,Feb 24,2018-02-24,2018-02-24,Top 12 Series 4 (WAG),,,,,8,Top 12 Series 4,2018,,,MAG and WAG,junior and senior,International Event,256,1.0,name_similarity=0.89; token_overlap=0.80; name_contains_variant; has_results=256; same_year,107,Top 12 Series 2,2018,,,MAG and WAG,junior and senior,International Event,204,0.855,name_similarity=0.81; token_overlap=0.50; has_results=204; same_year,102,Top 12 Series 1,2018,,,MAG and WAG,junior and senior,International Event,202,0.855,name_similarity=0.81; token_overlap=0.50; has_results=202; same_year
2018,2018,27,Mar 3,2018-03-03,2018-03-03,Top 12 Semi-Final 2 (MAG),,,,,106,Top 12 Semi-Final 2,2018,,,MAG,senior,International Event,93,1.0,name_similarity=0.91; token_overlap=0.80; name_contains_variant; has_results=93; same_year,104,Top 12 Semi-Final 1,2018,,,MAG,senior,International Event,96,0.877,name_similarity=0.85; token_overlap=0.50; has_results=96; same_year,119,Top 12 Final,2018,,,MAG and WAG,junior and senior,International Event,128,0.731,name_similarity=0.71; token_overlap=0.33; has_results=128; same_year
